DateTime,AddedIPs,RemovedIPs
1639192107,6,0
1639192830,4,18
1639193553,5,3
1639194268,6,0
1639194989,5,7
1639195707,6,9
1639196427,2,6
1639197148,3,2
1639197872,4,4
1639198586,0,5
1639199306,4,7
1639200027,1,2
1639200753,4,1
1639201468,6,8
1639202192,2,3
1639202907,4,4
1639203630,4,4
1639204592,4,3
1639205308,5,2
1639206033,2,0
1639206988,4,2
1639207708,0,3
1639208430,1,9
1639209146,2,0
1639209870,2,1
1639210586,3,5
1639211306,5,4
1639212028,3,6
1639212746,3,3
1639213475,3,6
1639214191,2,0
1639215146,6,4
1639215869,4,3
1639216593,6,2
1639217311,6,5
1639218030,2,2
1639218746,2,4
1639219470,3,2
1639220188,3,4
1639221152,2,3
1639221869,3,4
1639222588,4,2
1639223308,1,0
1639224031,3,2
1639224747,3,1
1639225467,4,5
1639226191,3,2
1639226908,3,6
1639227642,2,1
1639228350,2,2
1639229313,3,2
1639230028,5,3
1639230749,2,2
1639231472,6,2
1639232190,5,0
1639232906,0,2
1639233631,1,3
1639234350,6,5
1639235072,3,3
1639235788,4,4
1639236512,0,7
1639237473,8,6
1639238189,1,4
1639238908,1,4
1639239869,5,6
1639240589,3,0
1639241311,5,0
1639242040,7,4
1639242749,2,1
1639243469,3,0
1639244193,1,8
1639244910,1,1
1639245634,5,0
1639246346,4,5
1639247071,5,3
1639247789,3,2
1639248508,3,3
1639249239,3,8
1639249947,1,5
1639250669,4,6
1639251394,5,4
1639252353,6,6
1639253071,5,0
1639253788,2,8
1639254509,1,6
1639255232,4,9
1639255949,5,0
1639256910,5,2
1639257629,7,0
1639258347,3,9
1639259068,9,0
1639259787,3,3
1639260509,7,3
1639261228,2,4
1639261948,4,4
1639262670,3,9
1639263390,0,5
1639264108,2,5
1639264831,1,5
1639265549,4,0
1639266268,6,1
1639266988,2,1
1639267708,3,3
1639268668,5,2
1639269387,4,2
1639270348,4,5
1639271314,4,9
1639272028,1,2
1639272747,1,4
1639273470,6,8
1639274192,4,3
1639274907,2,7
1639275869,13,9
1639276590,2,9
1639277307,11,9
1639278039,7,6
1639278746,6,8
1639279468,4,5
1639280192,3,5
1639280909,6,5
1639281641,5,5
1639282347,4,11
1639283070,9,3
1639283790,4,1
1639284506,2,5
1639285239,6,4
1639285947,3,4
1639286671,3,4
1639287390,2,6
1639288110,1,3
1639288830,1,0
1639289694,1,4
1639290488,0,5
1639291206,0,2
1639291927,1,5
1639292894,2,3
1639293848,2,8
1639294565,1,2
1639295285,0,1
1639296015,1,2
1639296726,3,0
1639297449,2,2
1639298165,5,2
1639299128,2,0
1639299850,1,3
1639300567,4,4
1639301531,3,3
1639302247,1,6
1639302966,5,4
1639303686,3,3
1639304406,4,0
1639305125,3,4
1639305849,5,1
1639306565,3,1
1639307527,1,2
1639308249,2,6
1639308968,5,2
1639309688,0,4
1639310407,4,3
1639311127,5,1
1639311849,5,2
1639312569,2,3
1639313287,3,3
1639314017,1,1
1639314725,2,1
1639315451,3,4
1639316169,3,1
1639316887,1,2
1639317852,1,2
1639318566,2,2
1639319531,4,5
1639320247,1,2
1639320965,2,5
1639321930,5,3
1639322646,2,2
1639323369,2,7
1639324326,6,2
1639325048,5,3
1639326012,3,2
1639326725,7,2
1639327449,3,6
1639328166,3,1
1639329128,5,2
1639329853,5,3
1639330568,1,5
1639331533,4,1
1639332250,3,3
1639332965,5,4
1639333688,5,3
1639334405,3,7
1639335125,7,9
1639335847,1,3
1639336565,1,3
1639337288,4,4
1639338007,4,5
1639338728,6,0
1639339447,4,7
1639340167,3,5
1639341133,6,9
1639341846,1,2
1639342568,7,2
1639343530,4,8
1639344247,3,2
1639344967,6,4
1639345930,6,4
1639346647,6,5
1639347368,2,0
1639348326,1,4
1639349047,2,5
1639349769,1,2
1639350727,0,2
1639351446,3,6
1639352167,3,4
1639353129,5,1
1639353847,4,2
1639354570,2,7
1639355530,3,4
1639356247,5,3
1639356968,3,6
1639357927,3,3
1639358646,3,2
1639359364,5,3
1639360326,5,3
1639361051,6,2
1639361766,7,13
1639362486,11,7
1639363447,9,14
1639364167,4,5
1639364891,8,10
1639365848,6,7
1639366566,4,2
1639367287,8,5
1639368018,6,5
1639368730,1,7
1639369446,4,8
1639370170,0,3
1639370885,7,1
1639371622,4,7
1639372328,7,8
1639373047,2,5
1639373769,2,0
1639374488,4,3
1639375207,3,2
1639375928,2,3
1639376648,1,0
1639377367,6,2
1639378328,4,4
1639379056,6,0
1639379792,1,2
1639380747,3,2
1639381469,4,4
1639382187,3,0
1639382907,4,2
1639383636,3,0
1639384593,2,8
1639385307,1,0
1639386037,3,0
1639386747,3,0
1639387469,2,6
1639388188,1,4
1639388908,5,1
1639389636,3,4
1639390351,2,1
1639391070,2,4
1639391797,3,2
1639392531,7,5
1639393239,1,5
1639394190,6,1
1639394909,5,3
1639395634,0,2
1639396360,0,4
1639397071,6,0
1639397789,1,3
1639398515,3,5
1639399230,3,1
1639400190,1,2
1639400907,2,2
1639401629,2,5
1639402349,1,5
1639403069,2,0
1639403787,6,2
1639404507,4,2
1639405227,2,2
1639405947,8,3
1639406670,3,1
1639407393,3,3
1639408108,1,0
1639409547,6,5
1639410270,5,5
1639410990,1,4
1639411710,2,4
1639412667,3,0
1639413391,3,0
1639414353,2,5
1639415070,3,3
1639415786,4,3
1639416507,3,5
1639417228,1,6
1639417947,7,4
1639418671,4,2
1639419391,2,6
1639420108,5,4
1639420830,3,5
1639421550,8,2
1639422270,13,1
1639422989,3,4
1639423950,7,6
1639424669,4,2
1639425390,0,4
1639426111,2,3
1639426828,2,11
1639427547,2,1
1639428269,4,6
1639429239,5,3
1639429949,4,1
1639430671,3,4
1639431389,6,8
1639432106,3,0
1639432835,6,1
1639433549,6,6
1639434268,2,2
1639434994,2,2
1639435709,1,2
1639436429,3,2
1639437148,2,7
1639437868,3,5
1639438588,2,4
1639439550,4,2
1639440269,3,2
1639440989,3,5
1639441707,2,0
1639442428,3,3
1639443393,4,10
1639444106,9,0
1639444830,2,2
1639445546,2,4
1639446269,4,5
1639446990,3,3
1639447706,6,7
1639448429,10,5
1639449148,6,13
1639450108,12,8
1639450830,7,6
1639451551,6,8
1639452270,4,10
1639453230,11,10
1639453946,5,3
1639454672,4,5
1639455387,5,6
1639456109,2,2
1639456829,5,1
1639457546,1,1
1639458273,4,5
1639458991,3,5
1639459706,2,3
1639460430,3,4
1639461148,3,5
1639461872,3,1
1639462587,3,5
1639463309,7,3
1639464031,3,1
1639464749,2,3
1639465475,6,5
1639466190,1,0
1639466911,3,2
1639467628,1,4
